Group Name,A/c name,wing,unit,Amount Type(Debit or Credit),Amount(Opening Balance),Penalty 
Administrative Expenses,Postage & Courier charges,,,,,
Administrative Expenses,Meeting & Welfare expenses,,,,,
Current Assets,Advance given to Vendors,,,,,
Contribution from Members,Non Occupancy Charges,,,,,
Fixed Assets,Plant & Machinery,,,,,
Fixed Assets,Office Equipments,,,,,
Other Income,Miscellaneous income,,,,,
Contribution from Members,Maintenance charges,,,,,
Contribution from Members,Cultural Fund contribution,,,,,
Administrative Expenses,Sundry Balances Written Off,,,,,
Repairs & Maintenance,House keeping charges,,,,,
Taxes & Utilities,Electricity Expenses,,,,,
Administrative Expenses,Legal & Professional Charges,,,,,
Administrative Expenses,Depreciation,,,,,
Administrative Expenses,Cultural / Festival expenses,,,,,
Administrative Expenses,Traveling & conveyance expenses,,,,,
Administrative Expenses,Computer & sofware expenses,,,,,
Administrative Expenses,Bank charges,,,,,
Repairs & Maintenance,Swimming pool - R&M,,,,,
Repairs & Maintenance,Power back & generator - R&M,,,,,
Repairs & Maintenance,Pest control,,,,,
Repairs & Maintenance,Building R&M,,,,,
Taxes & Utilities,Property Tax,,,,,
Current Assets,Cash-in-hand,,,,,
Current Assets,Stock / Inventories,,,,,
Investments,Mutual Funds,,,,,
Current Liabilities,Service Tax payable,,,,,
Current Liabilities,Tax deducted at source (TDS payable),,,,,
Current Liabilities,Advance from Members,,,,,
Reserve & Surplus,Entrance Fees (Reserves),,,,,
Taxes & Utilities,Water charges,,,,,
Administrative Expenses,Printing & Stationery charges,,,,,
Repairs & Maintenance,Gymnasium R&M,,,,,
Administrative Expenses,Interest expenses,,,,,
Administrative Expenses,Insurance charges,,,,,
Administrative Expenses,Cable TV expenses,,,,,
Repairs & Maintenance,Security charges,,,,,
Repairs & Maintenance,Plumbing - R&M,,,,,
Repairs & Maintenance,Electrical R&M,,,,,
Current Assets,Accrued Interest,,,,,
Current Assets,Sundry Debtors,,,,,
Investments,Fixed Deposits,,,,,
Fixed Assets,Vehicles,,,,,
Current Liabilities,Retention A/c,,,,,
Current Liabilities,Provisions,,,,,
Administrative Expenses,Salaries,,,,,
Reserve & Surplus,Membership premium (Reserves),,,,,
Reserve & Surplus,Transfer Charges (Reserves),,,,,
Fixed Assets,Income & Expenditure A/c,,,,,
Reserve & Surplus,Major Repairs Fund (Reserves),,,,,
Fixed Assets,Power Back up & Generator,,,,,
Administrative Expenses,Staff welfare expenses,,,,,
Administrative Expenses,Miscellaneous expenses,,,,,
Administrative Expenses,Telecom & Internet expenses,,,,,
Repairs & Maintenance,Lifts & Elevators - R&M,,,,,
Other Income,Mobile tower rent,,,,,
Capital Account,Share Capital,,,,,
Other Income,Advertising Income,,,,,
Current Liabilities,Advances & Security Deposits taken,,,,,
Fixed Assets,Accumulated Depreciation,,,,,
Capital Account,Application Money,,,,,
Fixed Assets,Club Center Equipments,,,,,
Fixed Assets,Furniture & Fixtures,,,,,
Fixed Assets,Gym Equipments,,,,,
Other Income,Interest from  Fixed deposits,,,,,
Contribution from Members,Interest from members,,,,,
Other Income,Income from Advertising & events,,,,,
Reserve & Surplus,Reserve Fund Seed Money,,,,,
Fixed Assets,Land,,,,,
Contribution from Members,Sinking Fund,,,,,
Contribution from Members,Repair Fund,,,,,
Contribution from Members,Welfare Fund,,,,,
Contribution from Members,Lease Rent,,,,,
Contribution from Members,Parking Charges,,,,,
Contribution from Members,Water Charges,,,,,
Contribution from Members,Municipal Taxes,,,,,
Contribution from Members,Electricity Charges,,,,,
Contribution from Members,Insurance Charges,,,,,
Contribution from Members,Repair and Renovation Fund,,,,,
Contribution from Members,LAT Charges,,,,,
Contribution from Members,Muncipal Tax,,,,,
Administrative Expenses,Reversals & Adjustments,,,,,
Fixed Assets,Building,,,,,
Fixed Assets,Computers,,,,,
Fixed Assets,Surveillance & Security Systems,,,,,
Repairs & Maintenance,Club / Recreation Center expenses,,,,,
Repairs & Maintenance,Garden / Lawn expenses,,,,,
Repairs & Maintenance,General Repairs & Maintenance,,,,,
Repairs & Maintenance,Fire & Safety expenses,,,,,
Administrative Expenses,Subscription charges,,,,,
Investments,Deposits with Electricity Cos,,,,,
Investments,Deposits with Water Supply Cos,,,,,
Other Income,Interest from saving bank accounts,,,,,
Reserve & Surplus,Sinking Fund (Reserves),,,,,
Investments,Shares of Federation,,,,,
Current Assets,Sundry Debtors Control A/c,,,,,
Administrative Expenses,Audit fees,,,,,
Capital Account,sggggggggggggg,,,,,
Members Control Accounts,abhilash lohar,B,203,,,
Members Control Accounts,Ashish,A,106,credit,10000,
Members Control Accounts,Rohit Joshi,A,104,debit,10000,
Members Control Accounts,Nikhil Vyas,A,105,,,
Bank Accounts,SBBJ,,,,,
Bank Accounts,ICICI,,,,,
Members Control Accounts,Ankit,A,103,,,
Sundry Debtors Control A/c,Vicky,,,,,
Sundry Creditors Control A/c,Happy,,,,,
Sundry Debtors Control A/c,HHHHHHHHH,,,,,
Sundry Creditors Control A/c,dfhdfhdfh,,,,,
Sundry Creditors Control A/c,nikhilesh vyas,,,,,
Sundry Creditors Control A/c,Komal Vyas,,,,,
