Group Name,A/c name,wing,unit,Amount Type(Debit or Credit),Amount(Opening Balance),Penalty 
Reserve & Surplus,Membership premium ,,,,,
Reserve & Surplus,Transfer Charges  ,,,,,
Reserve & Surplus,Profit & Loss A/c ,,,,,
Reserve & Surplus,Major Repairs Fund ,,,,,
Fixed Assets,Power Back up & Generator ,,,,,
Administrative Expenses,Staff welfare expenses ,,,,,
Administrative Expenses,Communication expenses ,,,,,
Repairs & Maintenance,Lifts & Elevators - R&M ,,,,,
Capital Account,Share Capital ,,,,,
Current Liabilities,Advances & Security Deposits taken ,,,,,
Fixed Assets,Accumulated Depreciation ,,,,,
Capital Account,Application Money ,,,,,
Fixed Assets,Club Center Equipments ,,,,,
Fixed Assets,Gym Equipments ,,,,,
Administrative Expenses,Salaries ,,,,,
Reserve & Surplus,Reserve Fund Seed Money  ,,,,,
Fixed Assets,Land & Building  ,,,,,
Current Assets,Sundry Debtors Control A/c   ,,,,,
Reserve & Surplus,Sinking Fund  ,,,,,
Administrative Expenses,Postage & Courier charges ,,,,,
Administrative Expenses,Meeting & Welfare expenses ,,,,,
Current Assets,Tax deducted at source (TDS receivable) ,,,,,
Current Assets,Advance given to Vendors ,,,,,
Contribution from Members,Non Occupancy Charges ,,,,,
Administrative Expenses,Audit fees ,,,,,
Fixed Assets,Plant & Machinery ,,,,,
Fixed Assets,Office Equipments ,,,,,
Other Income,Miscellaneous income ,,,,,
Contribution from Members,Maintenance charges ,,,,,
Contribution from Members,Cultural Fund contribution ,,,,,
Administrative Expenses,Sundry Balances Written Off ,,,,,
Repairs & Maintenance,House keeping charges ,,,,,
Taxes & Utilities,Electricity Expenses ,,,,,
Administrative Expenses,Legal & Professional Charges ,,,,,
Administrative Expenses,Depreciation ,,,,,
Administrative Expenses,Cultural / Festival expenses ,,,,,
Administrative Expenses,Conveyance expenses ,,,,,
Administrative Expenses,Computer & sofware expenses ,,,,,
Administrative Expenses,Bank charges ,,,,,
Repairs & Maintenance,Swimming pool - R&M ,,,,,
Repairs & Maintenance,Power back & generator - R&M ,,,,,
Repairs & Maintenance,Pest control ,,,,,
Repairs & Maintenance,Building R&M ,,,,,
Taxes & Utilities,Property Tax ,,,,,
Current Assets,Cash-in-hand ,,,,,
Current Assets,Stock / Inventories ,,,,,
Investments,Mutual Funds ,,,,,
Current Liabilities,Service Tax payable ,,,,,
Current Liabilities,Tax deducted at source (TDS payable) ,,,,,
Current Liabilities,Sundry Creditors Control A/c ,,,,,
Current Liabilities,Advance from Members ,,,,,
Reserve & Surplus,Entrance Fees ,,,,,
Current Assets,Bank Accounts ,,,,,
Taxes & Utilities,Water charges ,,,,,
Administrative Expenses,Printing & Stationery charges ,,,,,
Repairs & Maintenance,Gymnasium R&M ,,,,,
Administrative Expenses,Interest expenses ,,,,,
Administrative Expenses,Insurance charges ,,,,,
Administrative Expenses,Cable TV expenses ,,,,,
Repairs & Maintenance,Security charges ,,,,,
Repairs & Maintenance,Plumbing - R&M ,,,,,
Repairs & Maintenance,Electrical R&M ,,,,,
Current Assets,Accrued Interest ,,,,,
Current Assets,Sundry Debtors ,,,,,
Current Assets,Deposits (Asset) ,,,,,
Investments,Fixed Deposits ,,,,,
Fixed Assets,Vehicles ,,,,,
Current Liabilities,Retention A/c  ,,,,,
Current Liabilities,Provisions ,,,,,
Current Liabilities,Salaries ,,,,,
Administrative Expenses,Miscellaneous expenses ,,,,,
Other Income,Mobile tower rent ,,,,,
Other Income,Advertising Income ,,,,,
Fixed Assets,Furniture & Fixtures ,,,,,
Contribution from Members,Interest from  Fixed deposits ,,,,,
Contribution from Members,Interest from  saving accounts ,,,,,
Contribution from Members,Interest from members ,,,,,
Other Income,Income from Advertising & events ,,,,,
Contribution from Members,Sinking Fund ,,,,,
Contribution from Members,Repair Fund ,,,,,
Contribution from Members,Welfare Fund ,,,,,
Contribution from Members,Lease Rent ,,,credit,5200,
Contribution from Members,Parking Charges ,,,,,
Contribution from Members,Water Charges ,,,,,
Contribution from Members,Municipal Taxes ,,,,,
Contribution from Members,Electricity Charges ,,,,,
Contribution from Members,Insurance Charges ,,,,,
Administrative Expenses,Reversals & Adjustments ,,,,,
Sundry Debtors Control A/c  ,Mukesh Goswami,A,101,debit,5000,200
Sundry Debtors Control A/c  ,Rohit,A,104,,,
Sundry Debtors Control A/c  ,nihkil,A,105,,,
Sundry Debtors Control A/c  ,ashish,B,202,,,
Bank Accounts,SBI ,,,,,
Sundry Debtors Control A/c  ,Sudhir,C,301,,,
